Product,Category,Sub_category,Type,Brand,Rating,Sales_price,Market_price,Discount,Discount_%,Discount_Status
"",Beverages,Coffee,Ground Coffee,Cothas Coffee,4.2,200,240.00,₹ 40.0,16,Discounted
& Moms - Citrus Soap,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,Dettol,4.2,195,195.00,₹ 0.0,0,Not_discounted
& Moms - Sandal Soap,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,Dettol,4.2,108,120.00,₹ 12.0,10,Discounted
& Moms Bathing Soap - Jasmine,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,Dettol,4.6,108,120.00,₹ 12.0,10,Discounted
& Moms Bathing Soap - Tulsi,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,Dettol,4.4,108,120.00,₹ 12.0,10,Discounted
0.0 Non Alcoholic Beer,Beverages,Energy & Soft Drinks,Non Alcoholic Drinks,Heineken,4.2,56,75.00,₹ 18.8,25,Discounted
0.0% Non Alcohol Beer- Zero Dot Zero,Beverages,Energy & Soft Drinks,Non Alcoholic Drinks,Heineken,4.3,120,120.00,₹ 0.0,0,Not_discounted
1 Million Prive Edp,Beauty & Hygiene,Fragrances & Deos,Eau De Parfum,Paco Rabanne,,5800,5800.00,₹ 0.0,0,Not_discounted
"1 Minute Manicure, Hand Scrub Grape Fruit Seed Oil, Strawberry Extract & Honey 100% Natural",Beauty & Hygiene,Skin Care,Face Care,Bodyherbals,1,350,350.00,₹ 0.0,0,Not_discounted
"1 Minute Pedicure, Foot Scrub Tea Tree Oil, Lemon Oil & Vitamin B3 100% Natural",Beauty & Hygiene,Skin Care,Face Care,Bodyherbals,,350,350.00,₹ 0.0,0,Not_discounted
1 To 1  Baking Flour - Gluten Free,Gourmet & World Food,Cooking & Baking Needs,Flours & Pre-Mixes,Bobs Red Mill,4.5,641,675.00,₹ 33.8,5,Discounted
10 Cavity Silicone Smiley Shape Chocolate/Ice Cube Mould - Yellow,"Kitchen, Garden & Pets",Bakeware,"Bakeware Moulds, Cutters",Hazel,3.7,119,429.00,₹ 310.0,72,Discounted
100 % Coconut Water - With No Added Sugar,Beverages,Fruit Juices & Drinks,"Unsweetened, Cold Press",Real Activ,4.2,240,270.00,₹ 29.7,10,Discounted
